Date,Close,High,Low,Open,Volume
2014-02-25,86.9,87.06,85.36,86.91,1511722
2014-02-26,84.94,90.76,82.69,87.61,3875381
2014-02-27,86.76,87.3,84.95,84.96,1833102
2014-02-28,86.05,87.74,85.39,86.83,1759477
2014-03-03,84.91,86.93,84.54,85.79,1729539
2014-03-04,85.46,86.06,84.41,85.56,1369947
2014-03-05,83.41,85.49,83.01,85.34,1956641
2014-03-06,84.23,84.57,82.39,83.42,1415443
2014-03-07,85.08,85.45,84.37,84.65,1314827
2014-03-10,86.76,87.88,84.36,87.88,1736845
2014-03-11,86.94,88.0,85.94,86.69,2094812
2014-03-12,86.13,87.2,85.68,85.98,1551974
2014-03-13,86.59,87.73,85.54,85.64,1671065
2014-03-14,87.72,87.97,86.17,86.4,1713400
2014-03-17,88.22,89.62,86.9,88.2,2060844
2014-03-18,88.66,89.68,88.005,88.35,1462134
2014-03-19,87.24,88.75,86.82,88.75,1218249
2014-03-20,87.55,87.92,86.0,86.77,1259335
2014-03-21,87.16,88.69,86.52,88.69,2078120
2014-03-24,86.33,87.84,86.15,87.59,1089140
2014-03-25,86.14,87.92,86.08,86.9,1253935
2014-03-26,84.63,86.81,84.52,86.46,2436338
2014-03-27,85.25,85.45,83.58,84.73,1647953
2014-03-28,85.23,86.26,84.96,86.04,1309458
2014-03-31,82.97,85.64,82.83,85.27,2108867
2014-04-01,84.04,84.42,82.63,83.21,1636882
2014-04-02,85.86,86.27,83.66,84.17,1664225
2014-04-03,87.82,88.41,86.31,86.42,2133039
2014-04-04,86.53,88.36,86.32,88.18,1787363
2014-04-07,85.42,87.73,85.15,86.65,1159727
2014-04-08,88.64,88.84,85.47,85.47,2167271
2014-04-09,88.31,88.9,87.1,88.5,1175631
2014-04-10,88.13,89.2,87.0011,88.05,1913936
2014-04-11,87.92,89.07,87.51,87.88,1302099
2014-04-14,87.92,88.75,86.74,87.98,1063791
2014-04-15,89.34,89.56,87.24,88.0,1278400
2014-04-16,90.73,90.99,89.28,90.24,1567151
2014-04-17,92.91,92.98,89.71,90.55,1312953
2014-04-18,92.91,92.91,92.91,92.91,0
